consumer_id,rank,score,title,body,keyword,url,title_length,body_length,cuisines_preference,foods_preference,taste_preference,dietary_preference
181431443,1,98,Noodle cravings covered,🍜 Hot bowls and hand-pulled options ready from spots you'll love,noodles,https://www.doordash.com/search/store/noodles?event_type=search&filterQuery-vertical_ids=1,23,64,"Vietnamese (Pho and beef noodle soups), Chinese (Sichuan, Cantonese, Hunan), Thai (spicy stir-fries and soups), American","Noodle soups, rice bowls, salads and customized breakfast sandwiches with frequent orders of spicy and savory dinner ite","Bold, spicy and savory flavors with regular requests for medium to very spicy adjustments in noodle ","none: while occasional modifications (e.g., dressing on the side, less sugar) are observed, no consistent exclusion pattern is evident"
181431443,2,96,Skip the schlep,"Get dumplings, rice dishes, and bold flavors delivered from top spots",Chinese food,https://www.doordash.com/search/store/Chinese%20food?event_type=search&filterQuery-vertical_ids=1,15,69,"Vietnamese (Pho and beef noodle soups), Chinese (Sichuan, Cantonese, Hunan), Thai (spicy stir-fries and soups), American","Noodle soups, rice bowls, salads and customized breakfast sandwiches with frequent orders of spicy and savory dinner ite","Bold, spicy and savory flavors with regular requests for medium to very spicy adjustments in noodle ","none: while occasional modifications (e.g., dressing on the side, less sugar) are observed, no consistent exclusion pattern is evident"
181431443,3,94,You pick. We roll,Build your perfect bowl with fresh ingredients from places nearby,rice bowls,https://www.doordash.com/search/store/rice%20bowls?event_type=search&filterQuery-vertical_ids=1,17,65,"Vietnamese (Pho and beef noodle soups), Chinese (Sichuan, Cantonese, Hunan), Thai (spicy stir-fries and soups), American","Noodle soups, rice bowls, salads and customized breakfast sandwiches with frequent orders of spicy and savory dinner ite","Bold, spicy and savory flavors with regular requests for medium to very spicy adjustments in noodle ","none: while occasional modifications (e.g., dressing on the side, less sugar) are observed, no consistent exclusion pattern is evident"
181431443,4,92,Heat seekers wanted,"Get bold, spicy flavors from restaurants that bring it",spicy food,https://www.doordash.com/search/store/spicy%20food?event_type=search&filterQuery-vertical_ids=1,19,54,"Vietnamese (Pho and beef noodle soups), Chinese (Sichuan, Cantonese, Hunan), Thai (spicy stir-fries and soups), American","Noodle soups, rice bowls, salads and customized breakfast sandwiches with frequent orders of spicy and savory dinner ite","Bold, spicy and savory flavors with regular requests for medium to very spicy adjustments in noodle ","none: while occasional modifications (e.g., dressing on the side, less sugar) are observed, no consistent exclusion pattern is evident"
181431443,5,86,Burgers your way,"Classic or loaded, get them delivered hot and ready",burgers,https://www.doordash.com/search/store/burgers?event_type=search&filterQuery-vertical_ids=1,16,51,"Vietnamese (Pho and beef noodle soups), Chinese (Sichuan, Cantonese, Hunan), Thai (spicy stir-fries and soups), American","Noodle soups, rice bowls, salads and customized breakfast sandwiches with frequent orders of spicy and savory dinner ite","Bold, spicy and savory flavors with regular requests for medium to very spicy adjustments in noodle ","none: while occasional modifications (e.g., dressing on the side, less sugar) are observed, no consistent exclusion pattern is evident"
181431443,6,82,Curry cravings,Get bold Thai curries and stir-fries delivered in 30 min,Thai food,https://www.doordash.com/search/store/Thai%20food?event_type=search&filterQuery-vertical_ids=1,14,56,"Vietnamese (Pho and beef noodle soups), Chinese (Sichuan, Cantonese, Hunan), Thai (spicy stir-fries and soups), American","Noodle soups, rice bowls, salads and customized breakfast sandwiches with frequent orders of spicy and savory dinner ite","Bold, spicy and savory flavors with regular requests for medium to very spicy adjustments in noodle ","none: while occasional modifications (e.g., dressing on the side, less sugar) are observed, no consistent exclusion pattern is evident"
181431443,7,82,Pho and more,Fresh Vietnamese flavors from noodle soups to banh mi sandwiches,Vietnamese food,https://www.doordash.com/search/store/Vietnamese%20food?event_type=search&filterQuery-vertical_ids=1,12,64,"Vietnamese (Pho and beef noodle soups), Chinese (Sichuan, Cantonese, Hunan), Thai (spicy stir-fries and soups), American","Noodle soups, rice bowls, salads and customized breakfast sandwiches with frequent orders of spicy and savory dinner ite","Bold, spicy and savory flavors with regular requests for medium to very spicy adjustments in noodle ","none: while occasional modifications (e.g., dressing on the side, less sugar) are observed, no consistent exclusion pattern is evident"
181431443,8,80,Your go-tos are here,Reorder favorites or find something new worth trying,restaurants,https://www.doordash.com/search/store/restaurants?event_type=search&filterQuery-vertical_ids=1,20,52,"Vietnamese (Pho and beef noodle soups), Chinese (Sichuan, Cantonese, Hunan), Thai (spicy stir-fries and soups), American","Noodle soups, rice bowls, salads and customized breakfast sandwiches with frequent orders of spicy and savory dinner ite","Bold, spicy and savory flavors with regular requests for medium to very spicy adjustments in noodle ","none: while occasional modifications (e.g., dressing on the side, less sugar) are observed, no consistent exclusion pattern is evident"
181431443,9,80,Fresh bowls nearby,Build your perfect meal with options that keep it light,healthy food,https://www.doordash.com/search/store/healthy%20food?event_type=search&filterQuery-vertical_ids=1,18,55,"Vietnamese (Pho and beef noodle soups), Chinese (Sichuan, Cantonese, Hunan), Thai (spicy stir-fries and soups), American","Noodle soups, rice bowls, salads and customized breakfast sandwiches with frequent orders of spicy and savory dinner ite","Bold, spicy and savory flavors with regular requests for medium to very spicy adjustments in noodle ","none: while occasional modifications (e.g., dressing on the side, less sugar) are observed, no consistent exclusion pattern is evident"
181431443,10,80,Start the day right,"Hot coffee, fresh bagels, and breakfast sandwiches ready to go",breakfast,https://www.doordash.com/search/store/breakfast?event_type=search&filterQuery-vertical_ids=1,19,62,"Vietnamese (Pho and beef noodle soups), Chinese (Sichuan, Cantonese, Hunan), Thai (spicy stir-fries and soups), American","Noodle soups, rice bowls, salads and customized breakfast sandwiches with frequent orders of spicy and savory dinner ite","Bold, spicy and savory flavors with regular requests for medium to very spicy adjustments in noodle ","none: while occasional modifications (e.g., dressing on the side, less sugar) are observed, no consistent exclusion pattern is evident"
