consumer_id,rank,score,title,body,keyword,url,title_length,body_length,cuisines_preference,foods_preference,taste_preference,dietary_preference,dd_user_locale,language,locale_applied,locale_score,title_localized,body_localized,title_length_localized,body_length_localized
181431443,1,98,Noodle cravings covered,🍜 Hot bowls and hand-pulled options ready from spots you'll love,noodles,https://www.doordash.com/search/store/noodles?event_type=search&filterQuery-vertical_ids=1&filterQuery-deals-fill=true,23,64,"Vietnamese (Pho and beef noodle soups), Chinese (Sichuan, Cantonese, Hunan), Thai (spicy stir-fries and soups), American (coffee and breakfast items)","Noodle soups, rice bowls, salads and customized breakfast sandwiches with frequent orders of spicy and savory dinner items","Bold, spicy and savory flavors with regular requests for medium to very spicy adjustments in noodle soups and beverages","none: while occasional modifications (e.g., dressing on the side, less sugar) are observed, no consistent exclusion pattern is evident",en-US,en-US,en-US,0,Noodle cravings covered,🍜 Hot bowls and hand-pulled options ready from spots you'll love,23,64
181431443,2,96,Skip the schlep,"Get dumplings, rice dishes, and bold flavors delivered from top spots",Chinese food,https://www.doordash.com/search/store/Chinese%20food?event_type=search&filterQuery-vertical_ids=1&filterQuery-deals-fill=true,15,69,"Vietnamese (Pho and beef noodle soups), Chinese (Sichuan, Cantonese, Hunan), Thai (spicy stir-fries and soups), American (coffee and breakfast items)","Noodle soups, rice bowls, salads and customized breakfast sandwiches with frequent orders of spicy and savory dinner items","Bold, spicy and savory flavors with regular requests for medium to very spicy adjustments in noodle soups and beverages","none: while occasional modifications (e.g., dressing on the side, less sugar) are observed, no consistent exclusion pattern is evident",en-US,en-US,en-US,0,Skip the schlep,"Get dumplings, rice dishes, and bold flavors delivered from top spots",15,69
181431443,3,94,You pick. We roll,Build your perfect bowl with fresh ingredients from places nearby,rice bowls,https://www.doordash.com/search/store/rice%20bowls?event_type=search&filterQuery-vertical_ids=1&filterQuery-deals-fill=true,17,65,"Vietnamese (Pho and beef noodle soups), Chinese (Sichuan, Cantonese, Hunan), Thai (spicy stir-fries and soups), American (coffee and breakfast items)","Noodle soups, rice bowls, salads and customized breakfast sandwiches with frequent orders of spicy and savory dinner items","Bold, spicy and savory flavors with regular requests for medium to very spicy adjustments in noodle soups and beverages","none: while occasional modifications (e.g., dressing on the side, less sugar) are observed, no consistent exclusion pattern is evident",en-US,en-US,en-US,0,You pick. We roll,Build your perfect bowl with fresh ingredients from places nearby,17,65
181431443,4,92,Heat seekers wanted,Get bold flavors from restaurants that bring it,spicy food,https://www.doordash.com/search/store/spicy%20food?event_type=search&filterQuery-vertical_ids=1&filterQuery-deals-fill=true,19,47,"Vietnamese (Pho and beef noodle soups), Chinese (Sichuan, Cantonese, Hunan), Thai (spicy stir-fries and soups), American (coffee and breakfast items)","Noodle soups, rice bowls, salads and customized breakfast sandwiches with frequent orders of spicy and savory dinner items","Bold, spicy and savory flavors with regular requests for medium to very spicy adjustments in noodle soups and beverages","none: while occasional modifications (e.g., dressing on the side, less sugar) are observed, no consistent exclusion pattern is evident",en-US,en-US,en-US,0,Heat seekers wanted,Get bold flavors from restaurants that bring it,19,47
181431443,5,86,Burgers your way,"Classic or loaded, get them delivered hot and ready",burgers,https://www.doordash.com/search/store/burgers?event_type=search&filterQuery-vertical_ids=1&filterQuery-deals-fill=true,16,51,"Vietnamese (Pho and beef noodle soups), Chinese (Sichuan, Cantonese, Hunan), Thai (spicy stir-fries and soups), American (coffee and breakfast items)","Noodle soups, rice bowls, salads and customized breakfast sandwiches with frequent orders of spicy and savory dinner items","Bold, spicy and savory flavors with regular requests for medium to very spicy adjustments in noodle soups and beverages","none: while occasional modifications (e.g., dressing on the side, less sugar) are observed, no consistent exclusion pattern is evident",en-US,en-US,en-US,0,Burgers your way,"Classic or loaded, get them delivered hot and ready",16,51
181431443,6,82,Curry cravings,Get bold Thai curries and stir-fries delivered in 30 min,Thai food,https://www.doordash.com/search/store/Thai%20food?event_type=search&filterQuery-vertical_ids=1&filterQuery-deals-fill=true,14,56,"Vietnamese (Pho and beef noodle soups), Chinese (Sichuan, Cantonese, Hunan), Thai (spicy stir-fries and soups), American (coffee and breakfast items)","Noodle soups, rice bowls, salads and customized breakfast sandwiches with frequent orders of spicy and savory dinner items","Bold, spicy and savory flavors with regular requests for medium to very spicy adjustments in noodle soups and beverages","none: while occasional modifications (e.g., dressing on the side, less sugar) are observed, no consistent exclusion pattern is evident",en-US,en-US,en-US,0,Curry cravings,Get bold Thai curries and stir-fries delivered in 30 min,14,56
181431443,7,82,Pho and more,Fresh Vietnamese flavors from noodle soups to banh mi sandwiches,Vietnamese food,https://www.doordash.com/search/store/Vietnamese%20food?event_type=search&filterQuery-vertical_ids=1&filterQuery-deals-fill=true,12,64,"Vietnamese (Pho and beef noodle soups), Chinese (Sichuan, Cantonese, Hunan), Thai (spicy stir-fries and soups), American (coffee and breakfast items)","Noodle soups, rice bowls, salads and customized breakfast sandwiches with frequent orders of spicy and savory dinner items","Bold, spicy and savory flavors with regular requests for medium to very spicy adjustments in noodle soups and beverages","none: while occasional modifications (e.g., dressing on the side, less sugar) are observed, no consistent exclusion pattern is evident",en-US,en-US,en-US,0,Pho and more,Fresh Vietnamese flavors from noodle soups to banh mi sandwiches,12,64
181431443,8,80,Fresh bowls nearby,Build your perfect meal with options that keep it light,healthy food,https://www.doordash.com/search/store/healthy%20food?event_type=search&filterQuery-vertical_ids=1&filterQuery-deals-fill=true,18,55,"Vietnamese (Pho and beef noodle soups), Chinese (Sichuan, Cantonese, Hunan), Thai (spicy stir-fries and soups), American (coffee and breakfast items)","Noodle soups, rice bowls, salads and customized breakfast sandwiches with frequent orders of spicy and savory dinner items","Bold, spicy and savory flavors with regular requests for medium to very spicy adjustments in noodle soups and beverages","none: while occasional modifications (e.g., dressing on the side, less sugar) are observed, no consistent exclusion pattern is evident",en-US,en-US,en-US,0,Fresh bowls nearby,Build your perfect meal with options that keep it light,18,55
181431443,9,80,Your go-tos are here,Reorder favorites or find something new worth trying,restaurants,https://www.doordash.com/search/store/restaurants?event_type=search&filterQuery-vertical_ids=1&filterQuery-deals-fill=true,20,52,"Vietnamese (Pho and beef noodle soups), Chinese (Sichuan, Cantonese, Hunan), Thai (spicy stir-fries and soups), American (coffee and breakfast items)","Noodle soups, rice bowls, salads and customized breakfast sandwiches with frequent orders of spicy and savory dinner items","Bold, spicy and savory flavors with regular requests for medium to very spicy adjustments in noodle soups and beverages","none: while occasional modifications (e.g., dressing on the side, less sugar) are observed, no consistent exclusion pattern is evident",en-US,en-US,en-US,0,Your go-tos are here,Reorder favorites or find something new worth trying,20,52
1193328057,1,98,Noodle cravings covered,🍜 Hot bowls and hand-pulled options ready from spots you'll love,noodles,https://www.doordash.com/search/store/noodles?event_type=search&filterQuery-vertical_ids=1&filterQuery-deals-fill=true,23,64,"Chinese (Sichuan, Mandarin), Korean, Thai, Japanese, Mexican – primary focus on authentic Chinese and Korean dishes with occasional forays into Thai and Japanese flavors","Rice bowls, noodle soups, dumplings, fajitas, and mixed salads – with recurrent orders of lunch combos and dinner entrees featuring hearty and savory dishes","Robust umami flavors with moderate spiciness and savory profiles, frequently enhanced by garlic and curry infusions",none: no consistent modifications clearly indicating a dedicated health‐restricted or plant‐only regimen,en-US,en-US,en-US,0,Noodle cravings covered,🍜 Hot bowls and hand-pulled options ready from spots you'll love,23,64
